time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow,tank_area,simulation_time,lateral_inflow
153.0,2.9999999999999996,0.20565911205738455,0.23087926589480248,0.2350648339450936,0.21913015471434424,0.13783121690508945,0.5694643820923094,0.03859269667013361,0.2,200.0,9241.0,0.06666666666666667
154.0,2.9999999999999996,0.18192425851282087,0.23063536249363648,0.24235127349344215,0.2240500962705069,0.14321697746158768,0.5515988812039488,0.03859269667013361,0.2,200.0,9301.0,0.06666666666666667
155.0,2.9999999999999996,0.1630965128429432,0.22511884995266349,0.24675396601552654,0.2298941548583799,0.1497290739843547,0.5353266572070282,0.03859269667013361,0.2,200.0,9361.0,0.06666666666666667
156.0,2.9999999999999996,0.14844627558388024,0.21680355089904632,0.24861931733205955,0.2356587120058558,0.15627453485233464,0.5210333700594345,0.03859269667013361,0.2,200.0,9421.0,0.06666666666666667
157.0,2.9999999999999996,0.13815274306876366,0.20654012258974072,0.24767521694173822,0.24046720033845145,0.16184165766437308,0.5086101147885663,0.03859269667013361,0.2,200.0,9481.0,0.06666666666666667
158.0,2.9999999999999996,0.13098804980956194,0.1961311207324401,0.2444021584181394,0.24361038560721912,0.16558264808494197,0.4976576311163596,0.03859269667013361,0.2,200.0,9541.0,0.06666666666666667
159.0,2.9999999999999996,0.12594257293466093,0.18661964264472203,0.23955577146608847,0.2446873203967805,0.16700049456340998,0.48755891045496175,0.03859269667013361,0.2,200.0,9601.0,0.06666666666666667
160.0,2.9999999999999996,0.12234952213817656,0.17857349407480672,0.23392140531226116,0.2436213911766654,0.16594792782652518,0.47759011624093795,0.03859269667013361,0.2,200.0,9661.0,0.06666666666666667
161.0,2.9999999999999996,0.1197605782026997,0.17211295811559102,0.22811561840160802,0.24067467340083504,0.16270529994564292,0.4670341239663604,0.03859269667013361,0.2,200.0,9721.0,0.06666666666666667
162.0,2.9999999999999996,0.1178781009339673,0.16704936757675426,0.22252880962997498,0.23639385845391186,0.15790557949960637,0.45530286691403377,0.03859269667013361,0.2,200.0,9781.0,0.06666666666666667
163.0,2.9999999999999996,0.11650001075359562,0.16312256881064702,0.2173814499802867,0.23141971933214764,0.15227977377099208,0.44201630754197685,0.03859269667013361,0.2,200.0,9841.0,0.06666666666666667
164.0,2.9999999999999996,0.11548732931517357,0.16011088875303256,0.21278393230512338,0.22623728042844093,0.14638640878361725,0.4269994525914839,0.03859269667013361,0.2,200.0,9901.0,0.06666666666666667
165.0,2.9999999999999996,0.13475981607000367,0.1586574577849587,0.20877303906230088,0.22117437065301443,0.14065777031422608,0.4100998939000534,0.16428443280046304,0.2,200.0,9961.0,0.06666666666666667
166.0,2.9999999999999996,0.16703013686237853,0.16304564996887028,0.20557667120138984,0.2164942028233223,0.13539729019916485,0.3915288383491555,0.16428443280046304,0.2,200.0,10021.0,0.06666666666666667
167.0,2.9999999999999996,0.1922478195940815,0.17350096129764933,0.20441678761885676,0.21237540789737624,0.13081466102377057,0.37149433215233535,0.16428443280046304,0.2,200.0,10081.0,0.06666666666666667
168.0,2.9999999999999996,0.2110697087255179,0.1885209501826074,0.20584032847301148,0.20922065145310206,0.1272727678108132,0.3502542625609419,0.16428443280046304,0.2,200.0,10141.0,0.06666666666666667
169.0,2.9999999999999996,0.2243504901344972,0.20449206245575685,0.2104438747148006,0.20747267891512527,0.12529985604166305,0.32817135837019146,0.16428443280046304,0.2,200.0,10201.0,0.06666666666666667
170.0,2.9999999999999996,0.2325467799332137,0.2198125247287521,0.2177283620838828,0.2076733724277504,0.1254541016473574,0.30573163855243285,0.16428443280046304,0.2,200.0,10261.0,0.06666666666666667
171.0,2.9999999999999996,0.23739734710810123,0.23358791392763967,0.22711818000736636,0.21016863865179092,0.12804948156909002,0.2836241735320583,0.16428443280046304,0.2,200.0,10321.0,0.06666666666666667
172.0,2.9999999999999996,0.2260736312484936,0.24409462353413994,0.23754333386807558,0.21496424314621476,0.13315096538375465,0.2627532615005323,0.0653768710805202,0.2,200.0,10381.0,0.06666666666666667
173.0,2.9999999999999996,0.20419697747092908,0.24638147683236694,0.24794816827474406,0.22195433122613575,0.14074004722060854,0.24380427064775412,0.0653768710805202,0.2,200.0,10441.0,0.06666666666666667
174.0,2.9999999999999996,0.1879992908444306,0.24292467419643055,0.25514312356302565,0.23028866652601282,0.1500201904901453,0.22734223761913094,0.0653768710805202,0.2,200.0,10501.0,0.06666666666666667
175.0,2.9999999999999996,0.17526695650686971,0.23504269225433572,0.2590151080714888,0.2386798851981694,0.15956364714829105,0.21348884576620097,0.0653768710805202,0.2,200.0,10561.0,0.06666666666666667
176.0,2.9999999999999996,0.16623450338940793,0.22655980665011405,0.2598226079058805,0.24610045927692964,0.16818660121850995,0.2024196063438597,0.0653768710805202,0.2,200.0,10621.0,0.06666666666666667
177.0,2.9999999999999996,0.16014222533186928,0.21762231809879704,0.2581264936508276,0.25162367853277634,0.1747235182336595,0.19371502043657712,0.0653768710805202,0.2,200.0,10681.0,0.06666666666666667
