time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow
32790.0,2.9999999999999996,0.22066474111137324,0.2941227800171695,0.3202015506121822,0.32747265834687683,0.2658009075029886,0.8177474428289334,0.025571143240219803,0.1851851851851852
32820.0,2.9999999999999996,0.20205814554173565,0.281801772086524,0.31594653944181555,0.32605692678019843,0.26427603623506074,0.829743851599835,0.025571143240219803,0.1851851851851852
32850.0,2.9999999999999996,0.18643273560978718,0.26862125190877045,0.31040366657685403,0.32412987937560306,0.2622314470984803,0.8414805163856377,0.025571143240219803,0.1851851851851852
32880.0,2.9999999999999996,0.17327770872508755,0.2552588146154768,0.3036915837853639,0.32151271438356466,0.2594652631746007,0.8528662243894873,0.025571143240219803,0.1851851851851852
32910.0,2.9999999999999996,0.1621655559649218,0.24215761649990641,0.29602646058378407,0.3180811664527165,0.2557744880989412,0.8637797358840796,0.025571143240219803,0.1851851851851852
32940.0,2.9999999999999996,0.1527405442258386,0.22960720295003859,0.287665851113902,0.31374578260582153,0.2510558486286755,0.8740732687395621,0.025571143240219803,0.1851851851851852
32970.0,2.9999999999999996,0.1447248334891021,0.21777372314010196,0.2788338203533667,0.308533069567412,0.24529001756211383,0.8835911471621192,0.025571143240219803,0.1851851851851852
33000.0,2.9999999999999996,0.1378779010655177,0.20673811969871725,0.26973702805311955,0.30251451372705696,0.23852707793969188,0.8921781780071928,0.025571143240219803,0.1851851851851852
33030.0,2.9999999999999996,0.13201086211802365,0.19653230394603555,0.2605473571926513,0.29579993905455104,0.2308520461366358,0.8996906970571108,0.025571143240219803,0.1851851851851852
33060.0,2.9999999999999996,0.12696747517573903,0.18714613609797195,0.25140413210339985,0.28848941572554315,0.2223684094351888,0.905998262148539,0.025571143240219803,0.1851851851851852
33090.0,2.9999999999999996,0.12261512631690398,0.17855121699717502,0.2424224804513275,0.2807184540629156,0.21327345970270603,0.9109904129716889,0.025571143240219803,0.1851851851851852
33120.0,2.9999999999999996,0.1371305252068711,0.17069650472317383,0.2336828513679152,0.2726914970537755,0.2037792979045922,0.9145160306902854,0.24290069201770637,0.1851851851851852
33150.0,2.9999999999999996,0.1660137936505406,0.16596184541965248,0.22529544918007255,0.2644960718579525,0.1940258079176115,0.9165982954020774,0.24290069201770637,0.1851851851851852
33180.0,2.9999999999999996,0.19130132429406113,0.16554728851217607,0.21757523881724422,0.2562977074112475,0.1842751049669291,0.9172410939136842,0.24290069201770637,0.1851851851851852
33210.0,2.9999999999999996,0.21347008313621899,0.16830823921352706,0.21088877312559717,0.2482815583600954,0.17468612520755616,0.9164804072200513,0.24290069201770637,0.1851851851851852
